ukb_id,variable,answer_choice,third_person_narrative,question_answer
21001,bmi,Body Mass Index,Body Mass Index,Body Mass Index
1239,tobacco_smoker,"Yes, on most or all days",The person smokes on most or all days,"Question: Do you smoke tobacco now? Answer: Yes, on most or all days."
1239,tobacco_smoker,Only occasionally,The person smokes only occasionaly,Question: Do you smoke tobacco now? Answer: Only occasionally.
1239,tobacco_smoker,No,The person does not smoke,Question: Do you smoke tobacco now? Answer: No.
1558,alcohol,Daily or almost daily,The person drinks alcohol daily or almost daily,Question: About how often do you drink alcohol? Answer: Daily or almost daily.
1558,alcohol,Three or four times a week,The person drinks alchohol three or four times a week,Question: About how often do you drink alcohol? Answer: Three or four times a week.
1558,alcohol,Once or twice a week,The person drinks alcohol once or twice a week,Question: About how often do you drink alcohol? Answer: Once or twice a week.
1558,alcohol,One to three times a month,The person drinks alcohol one to three times a month,Question: About how often do you drink alcohol? Answer: One to three times a month.
1558,alcohol,Special occasions only,The person drinks alcohol on special occasions only,Question: About how often do you drink alcohol? Answer: Special occasions only.
1558,alcohol,Never,The person never drinks alcohol,Question: About how often do you drink alcohol? Answer: Never.
31,sex,Female,The sex of the person is female,Question: What is your sex? Answer: Female.
31,sex,Male,The sex of the person is male,Question: What is your sex? Answer: Male.
1150,side_phone,Right,The person uses the phone usually on the right side of the head,Question: On what side of the head do you usually use a mobile phone? Answer: Right.
1150,side_phone,Equally left and right,The person uses the phone usually equally on both the left and right sides of the head,Question: On what side of the head do you usually use a mobile phone? Answer: Equally left and right.
1150,side_phone,Left,The person uses the phone usually on the left side of the head,Question: On what side of the head do you usually use a mobile phone? Answer: Left.
1200,sleeplessness_insomnia,Never/rarely,The person never or rarely has trouble falling asleep or waking up in the middle of the night,Question: Do you have trouble falling asleep at night or do you wake up in the middle of the night? Answer: Never/rarely
1200,sleeplessness_insomnia,Sometimes,The person sometimes has trouble falling asleep or waking up in the middle of the night,Question: Do you have trouble falling asleep at night or do you wake up in the middle of the night? Answer: Sometimes
1200,sleeplessness_insomnia,Usually,The person usually has trouble falling asleep or waking up in the middle of the night.,Question: Do you have trouble falling asleep at night or do you wake up in the middle of the night? Answer: Usually
2010,nerves,Yes,The person suffers from nerves,Question: Do you suffer from nerves? Answer: Yes
2010,nerves,No,The person does not suffer from nerves,Question: Do you suffer from nerves? Answer: No
